Source,Target
TCF21,ZNF391
TCF21,ZNF316
TCF21,TLX3
TCF21,ZSCAN30
TCF21,ZNF543
TCF21,USF3
TCF21,ZNF578
TCF21,ZNF777
TCF21,ZNF99
TCF21,ZSCAN23
TCF21,ZNF710
TCF21,ZNF443
TCF21,ZNF804B
TCF21,ZFP1
TCF21,ZFP42
TCF21,ZNF583
TCF21,ZBTB24
TCF21,ZNF705G
TCF21,ZNF771
TCF21,ZNF214
TCF21,ZNF92
TCF21,ZSCAN20
TCF21,ZNF324B
TCF21,ZNF572
TCF21,ZNF782
TCF21,ZKSCAN3
TCF21,ZNF214
TCF21,TFAP2B
TCF21,TLX1
TCF21,WT1
TCF21,ZNF397
TCF21,TCF24
TCF21,ZNF365
TCF21,ZNF852
TCF21,ZNF578
TCF21,ZNF556
TCF21,TFAP2C
TCF21,ZFP42
TCF21,ZNF595
TCF21,ZNF585B
TCF21,TP63
TCF21,TP63
TCF21,ZSCAN4
TBX22,USF3
TBX22,TCF21
TBX22,ZNF215
TBX22,ZNF560
TBX22,ZNF750
TBX22,TEF
TBX22,ZNF518B
TBX22,ZNF28
TBX22,ZFP57
TBX22,TFAP2A
TBX22,ZIM3
TBX22,ZBED2
TBX22,ZNF517
TBX22,TP63
TBX22,ZNF280A
TBX22,ZKSCAN3
TBX22,ZNF672
TBX22,TFAP2A
TBX22,TCF21
TBX22,ZNF429
TBX22,ZNF391
TBX22,ZNF316
TBX22,ZNF543
TBX22,TCF21
TBX22,ZNF578
TBX22,ZNF777
TBX22,ZNF99
TBX22,TBX5
TBX22,ZSCAN23
TBX22,ZNF443
TBX22,ZFP1
TBX22,ZFP42
TBX22,ZNF705G
TBX22,ZNF572
TBX22,ZNF782
TBX22,ZKSCAN3
TBX22,TBX3
TBX22,ZNF214
TBX22,TFAP2B
TBX22,TLX1
TBX22,WT1
TBX22,ZNF397
TBX22,TCF24
TBX22,ZNF365
TBX22,ZNF852
TBX22,ZNF578
TBX22,ZFP42
TBX22,ZNF585B
TBX22,ZSCAN4
ZNF215,ZNF560
ZNF215,ZNF750
ZNF215,ZNF518B
ZNF215,ZNF28
ZNF215,ZNF800
ZNF215,ZNF625
ZNF215,ZNF280A
ZNF215,ZSCAN12
ZNF215,ZNF672
ZNF215,ZNF492
ZNF215,ZNF429
ZNF215,ZNF391
ZNF215,ZNF316
ZNF215,ZSCAN30
ZNF215,ZNF543
ZNF215,ZNF578
ZNF215,ZNF777
ZNF215,ZNF99
ZNF215,ZSCAN23
ZNF215,ZNF443
ZNF215,ZNF804B
ZNF215,ZNF583
ZNF215,ZNF705G
ZNF215,ZNF771
ZNF215,ZSCAN20
ZNF215,ZNF572
ZNF215,ZNF782
ZNF215,ZNF397
ZNF215,ZNF365
ZNF215,ZNF852
ZNF215,ZNF578
ZNF215,ZNF556
ZNF215,ZNF595
